,kunnr,dispute_amount,value_label,avg_invalid_dispute_amount,b_value
2635,2002213918,58.95,HIGH,5659.080187050367,0.010416887206315766
2636,2002213896,169.35,HIGH,9077.94169154229,0.018655109908645866
2637,2002214045,3799.61,HIGH,5299.50366489045,0.7169746905116151
2638,2002213887,581.08,HIGH,39981.421175166295,0.014533750500117962
2639,2002213887,3402.25,HIGH,39981.421175166295,0.08509577448720716
2640,2002213887,181.93,HIGH,39981.421175166295,0.005
2641,2002213887,657.74,HIGH,39981.421175166295,0.016451141071707146
2642,2002213887,3199.78,HIGH,39981.421175166295,0.08003167236054838
2643,2002213887,251.56,HIGH,39981.421175166295,0.00629192241310951
2644,2002213887,800.35,HIGH,39981.421175166295,0.02001804779508744
2645,2002213887,714.73,HIGH,39981.421175166295,0.017876553133732553
2646,2002253256,99.47,HIGH,86743.38563157897,0.005
2647,2002213896,2316.72,HIGH,9077.94169154229,0.2552032254358314
2648,2002213887,1061.77,HIGH,39981.421175166295,0.026556584753407875
2649,2002213879,76.5,HIGH,17657.59580487807,0.005
2650,2002213963,1984.85,HIGH,13217.613931345559,0.15016704303133943
2651,2002213963,6279.02,HIGH,13217.613931345559,0.4750494327201758
2652,2002213895,41204.44,LOW,1418.4563357664206,0.03442484197737963
2653,2002213915,1010.52,LOW,343.03572640178726,0.3394645592385972
2654,2002213887,123.74,HIGH,39981.421175166295,0.005
2655,2002213887,1005.15,HIGH,39981.421175166295,0.025140426989732168
2656,2002214045,269.95,HIGH,5299.50366489045,0.05093873258139927
2657,2002214045,117.58,HIGH,5299.50366489045,0.022186983429971944
2658,2002214045,617.08,HIGH,5299.50366489045,0.11644109317032733
2659,2002213931,2691.32,HIGH,5980.336706812193,0.45002817265026585
2660,2002213981,108.72,HIGH,7113.3422880215685,0.015283954517847089
2661,2002213981,60.0,HIGH,7113.3422880215685,0.00843485348667058
2662,2002213879,162.6,HIGH,17657.59580487807,0.009208501644095868
2663,2002213931,1981.78,HIGH,5980.336706812193,0.3313826791295141
2664,2002213975,1538.15,HIGH,4080.344206642068,0.3769657465407374
2665,2002213887,799.02,HIGH,39981.421175166295,0.019984782344262843
2666,2002213931,1754.29,HIGH,5980.336706812193,0.29334301495126364
2667,2002214045,1131.86,HIGH,5299.50366489045,0.21357849179323052
2668,2002214045,545.09,HIGH,5299.50366489045,0.10285680215889954
2669,2002214045,60.95,HIGH,5299.50366489045,0.011501077054403726
2670,2002213981,111.46,HIGH,7113.3422880215685,0.015669146160405045
2671,2002213981,118.75,HIGH,7113.3422880215685,0.01669398085903552
2672,2002253691,4240.51,LOW,1028.225,0.24247673039327816
2673,2002213981,57.0,HIGH,7113.3422880215685,0.00801311081233705
2674,2002213981,57.72,HIGH,7113.3422880215685,0.008114329054177097
2675,2002213981,55.44,HIGH,7113.3422880215685,0.007793804621683615
2676,2002213887,227.4,HIGH,39981.421175166295,0.005687641742491266
2677,2002213887,84.06,HIGH,39981.421175166295,0.005
2678,2002214052,265.23,LOW,823.9816969696965,3.1066685403977545
2679,2002214045,108.79,HIGH,5299.50366489045,0.020528337534841366
2680,2002214045,709.42,HIGH,5299.50366489045,0.13386536643043626
2681,2002213895,79.97,LOW,1418.4563357664206,5.0
2682,2002214045,507.14,HIGH,5299.50366489045,0.09569575418162929
2683,2002213981,110.55,HIGH,7113.3422880215685,0.015541217549190542
2684,2002213981,92.76,HIGH,7113.3422880215685,0.013040283490392716
2685,2002214045,117.58,HIGH,5299.50366489045,0.022186983429971944
2686,2002213981,95.3,HIGH,7113.3422880215685,0.01339735895466177
2687,2002213981,9055.92,HIGH,7113.3422880215685,1.2730893064501638
2688,2002213981,149.26,HIGH,7113.3422880215685,0.02098310385700751
2689,2002213879,67.84,HIGH,17657.59580487807,0.005
2690,2002213981,85.44,HIGH,7113.3422880215685,0.012011231365018905
2691,2002213981,101.52,HIGH,7113.3422880215685,0.01427177209944662
2692,2002254220,1512.72,HIGH,4168.2664516129025,0.36291345996239177
2693,999999999,1219.22,HIGH,6875.0959055118055,0.17733861705442452
2694,999999999,346.45,HIGH,6875.0959055118055,0.05039202430939894
2695,2002213981,173.76,HIGH,7113.3422880215685,0.024427335697397995
2696,2002213853,7507.87,HIGH,3292.3019883040943,2.280431754642106
2697,2002213981,80.56,HIGH,7113.3422880215685,0.011325196614769698
2698,2002213981,83.16,HIGH,7113.3422880215685,0.011690706932525422
2699,2002213981,57.72,HIGH,7113.3422880215685,0.008114329054177097
2700,2002213981,153.8,HIGH,7113.3422880215685,0.021621341104165585
2701,2002214045,539.89,HIGH,5299.50366489045,0.10187557819363458
2702,2002214045,959.81,HIGH,5299.50366489045,0.1811131873271081
2703,2002214045,734.85,HIGH,5299.50366489045,0.13866392901441474
2704,2002214045,98.15,HIGH,5299.50366489045,0.01852060234437614
2705,2002214045,56.96,HIGH,5299.50366489045,0.010748176357979264
2706,2002214045,117.58,HIGH,5299.50366489045,0.022186983429971944
2707,2002214045,54.39,HIGH,5299.50366489045,0.010263225282838698
2708,2002214045,280.74,HIGH,5299.50366489045,0.05297477230932407
2709,2002213931,4912.24,HIGH,5980.336706812193,0.8213985668071956
2710,2002213887,70.2,HIGH,39981.421175166295,0.005
2711,2002213918,133.79,HIGH,5659.080187050367,0.0236416512185409
2712,2002213918,930.17,HIGH,5659.080187050367,0.16436770097877412
2713,2002213931,16153.09,HIGH,5980.336706812193,2.701033535720495
2714,2002213963,17856.3,HIGH,13217.613931345559,1.3509473111220023
2715,2002213918,14951.27,HIGH,5659.080187050367,2.641996491622947
2716,2002213963,1955.92,HIGH,13217.613931345559,0.14797829700272436
2717,2002213981,8333.61,HIGH,7113.3422880215685,1.1715463227508802
2718,2002213981,83.88,HIGH,7113.3422880215685,0.011791925174365468
2719,2002213963,8023.67,HIGH,13217.613931345559,0.6070437555277564
2720,2002214045,121.9,HIGH,5299.50366489045,0.023002154108807453
2721,2002213887,224.64,HIGH,39981.421175166295,0.005618609679125935
2722,2002213931,928.38,HIGH,5980.336706812193,0.1552387508453301
2723,2002213931,5296.73,HIGH,5980.336706812193,0.8856909334162576
2724,2002213981,2556.8,HIGH,7113.3422880215685,0.3594372232453223
2725,2002214009,3489.37,HIGH,8566.410263157895,0.4073316468400953
2726,2002213918,70.8,HIGH,5659.080187050367,0.012510867077305449
2727,2002213981,63.77,HIGH,7113.3422880215685,0.00896484344741638
2728,999999999,274.74,HIGH,6875.0959055118055,0.03996162435781286
2729,2002213931,1169.29,HIGH,5980.336706812193,0.19552243583008685
2730,2002213931,6250.0,HIGH,5980.336706812193,1.0450916572775297
2731,2002253691,4020.08,LOW,1028.225,0.25577227318859325
2732,2002213981,63.29,HIGH,7113.3422880215685,0.008897364619523016
2733,2002214045,74.99,HIGH,5299.50366489045,0.014150381760619118
2734,2002214045,120.28,HIGH,5299.50366489045,0.022696465104244137
2735,2002214045,749.85,HIGH,5299.50366489045,0.14149438276037135
2736,2002214045,3323.69,HIGH,5299.50366489045,0.6271700540599034
2737,2002213963,7414.8,HIGH,13217.613931345559,0.5609787090554831
2738,2002213918,98.88,HIGH,5659.080187050367,0.017472804189321508
2739,2002213902,1817.15,LOW,5421.734338521398,2.9836471059193777
2740,2002213981,4263.84,HIGH,7113.3422880215685,0.599414428176758
2741,2002213896,400.96,HIGH,9077.94169154229,0.044168602710189825
