,create_minus_claim_date,category_history,cal_cust_history,ZZ_CLAIMDATE_SIMP_DT_month,ship_to_history,original_with_avg_dispute,rank_xref_in_kunnr,b_value,rank_kunwe_in_kunnr
28,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.1620263023223064,3.0,0.03129837255271668,8.0
29,2.0,0.20507324044301534,0.2611775121735281,10.0,0.4287773240451597,0.04449414456463035,1.0,0.032873723233272485,1.0
30,2.0,0.3844269691891195,0.18292682926829268,10.0,0.13266097750193948,0.7326913800435665,4.0,0.10539545309153141,2.0
31,2.0,0.28293496386881606,0.3876500857632933,10.0,0.4287773240451597,0.6445800710414037,2.0,0.3402566833556445,1.0
32,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06325721999541264,3.0,0.012219300259825873,8.0
33,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06428177655932966,3.0,0.012417212281387766,8.0
34,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.12227899633820401,3.0,0.02362044635908784,8.0
35,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.07824135974269911,3.0,0.015113763575168573,8.0
36,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.08510222959035775,3.0,0.016439067290984828,8.0
37,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.06121725469404214,3.0,0.011825243288323174,8.0
38,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.35603340596116556,3.0,0.0687744274927582,8.0
39,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.08506563828450356,3.0,0.016431999004500476,8.0
40,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.15448849331634543,3.0,0.029842305536939888,8.0
41,2.0,0.3844269691891195,0.12244897959183673,10.0,0.10658016682113068,1.1319362494443617,4.0,0.16282562772039638,3.0
42,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.0616380547113652,3.0,0.011906528582893235,8.0
43,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.18039513786110445,3.0,0.034846652367862066,8.0
44,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.05440212397870123,3.0,0.010508774930612358,8.0
45,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.054539341375654395,3.0,0.010535281004928683,8.0
46,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.049663549870584994,3.0,0.009593431830888599,8.0
47,2.0,0.19031692944736425,0.2782608695652174,10.0,0.4287773240451597,1.5348714105251364,2.0,0.41365708158263315,2.0
48,2.0,0.26779624893435633,0.6379310344827587,10.0,0.6301703163017032,0.06516218212049046,1.0,0.03604107706418805,1.0
49,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.6169751558337825,3.0,0.11918014548430311,8.0
50,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.09325294296937621,3.0,0.01801352810537454,8.0
51,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.6568413835619109,3.0,0.1268810436090061,8.0
52,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.08906323844907267,3.0,0.01720420930291608,8.0
53,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.09804640403627371,3.0,0.01893947363482483,8.0
54,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.19139082527028536,3.0,0.03697067245641025,8.0
55,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.3045585864507987,3.0,0.05883111548089411,8.0
56,2.0,0.19031692944736425,0.2611775121735281,10.0,0.4287773240451597,0.014469800564135795,1.0,0.010690759955955613,1.0
57,2.0,0.26779624893435633,0.05562130177514793,10.0,0.04020833333333333,0.19743753856268853,3.0,0.038138706797949645,8.0
