,amount/mean_amount
142,0.6708101145717439
143,0.09852812692473005
144,0.0588874445526847
145,0.11141295007757811
146,0.11172484456844124
147,0.0023326400378756067
148,0.24085189685827604
149,0.6758314877568551
150,1.535999275890273
151,0.6143997103561092
152,0.292712709469826
153,0.08610358324606275
154,0.06773543180239365
155,1.9660831699569818
156,0.11667736047837561
157,14.072260619423608
158,0.08556949013644084
159,0.06373100059814361
160,0.24085189685827604
161,0.24085189685827604
162,1.873925261812282
163,2.9798406436358458
164,0.0716091855566291
165,0.09435068214500159
166,0.6749260899972238
167,0.6384903203864979
168,0.5391271526290158
169,0.14174557105262744
170,0.2184043568171333
171,0.05742090671167103
172,0.06311085477199592
173,1.0559793478192998
174,1.3183145083966523
175,0.0588874445526847
176,0.46084005375399895
177,0.06663276796046069
178,1.3209573288569185
179,0.11667736047837561
180,0.09734202139858075
181,0.09134104723849533
182,0.05691777625617606
183,0.11119183066438766
184,0.016788906015095247
185,0.05525477751859052
186,0.03817528871741437
187,0.05370398983736903
188,0.1437763885275344
189,0.0019797371058418683
190,0.07905830624199717
191,0.057793395709083234
192,0.06773543180239365
193,0.07700829238942354
194,2.5190306188251825
195,0.4817242778037147
196,1.9353570392130275
197,3.0105667743798
198,1.4438413677455728
199,9.805056549877566
200,0.10943674986044562
201,0.403437442695255
202,0.08806612536454628
203,0.05370398983736903
204,0.05370398983736903
205,0.01942476977651921
206,0.10032321677491109
207,0.06930746315048118
208,0.05102657601365318
209,0.3011738906592871
210,0.29822782500081996
211,0.9830313429349096
212,0.24085189685827604
213,2.242556894391082
214,1.6588833147789275
215,0.24085189685827604
216,2.0022580678861974
217,7.1967357951104525
218,0.060013358896585246
219,0.17636492232192943
220,0.09561774456408148
221,0.054405030843948606
222,0.2793471767172691
223,0.08190049032811705
224,0.1163603526162905
225,0.11742436860207962
226,0.08443354641299294
227,0.3686316325788005
228,1.9353570392130275
229,0.21523006103428324
230,0.08425238279074586
231,0.06672635762625637
232,0.32968126975378315
233,0.06900205501451881
234,1.3615066094450081
235,1.777633081875426
236,0.06300108085443339
237,0.057905741514238905
238,0.02378136499304283
239,0.06831963264120995
240,0.2583601023106008
241,0.10412056080806749
242,0.35226484693585414
243,0.009022884805932023
244,0.19971171220771608
245,0.14218386233445843
246,1.3496578459804573
247,0.3500320814351268
248,0.29820734091365736
249,5.133455631566762
250,0.6102565303179074
251,3.4316063870318505
252,0.510422483918568
253,0.24085189685827604
254,0.6758314877568551
255,0.07428219534340588
256,0.008763377415053123
257,0.06938556421348904
258,0.14241336238446625
259,0.05477255841947736
260,0.0012509200368910967
261,0.49604265473039744
262,0.9274170462883524
263,0.24085189685827604
264,0.2150419470333545
265,0.11141295007757811
266,0.11141295007757811
267,0.3071998551780546
268,2.3443832916765466
269,0.6451258411000634
270,1.198073289968264
271,1.6588833147789275
272,0.4915156714674548
273,0.13316705064429774
274,0.05815453804580605
275,0.24792507394409868
276,2.0582410781016818
277,1.2595255514561725
278,0.5931372278812929
279,4.345432798420148
280,0.06773543180239365
281,0.09852812692473005
282,0.13411126892536024
283,0.18821888843318416
284,0.07269582801561582
285,0.07835726523541758
286,0.05815453804580605
287,0.08603685080749389
288,0.0875982603221484
289,0.4636573129262696
290,0.09149647319206819
291,0.06773543180239365
292,0.10887379268849535
293,0.30602564303885266
294,15.575120807681941
295,0.14339475134582313
296,0.24085189685827604
297,4.989165721593153
298,0.35226484693585414
299,0.08735395815318885
300,0.10757792900966644
301,3.1334303291812917
302,11.651778943937867
303,0.08178811743428431
304,0.06773543180239365
305,1.1917484675184198
306,0.3500320814351268
