,kunnr,xref_x,xref_label,xref_y,rank
169,2002213918,UNIDENTIFI,others,others,3
170,2002213918,UNIDENTIFI,others,others,3
171,2002213918,UNIDENTIFI,others,others,3
172,2002213918,UNIDENTIFI,others,others,3
173,2002213918,UNIDENTIFI,others,others,3
174,2002213887,FABRIC,FABRIC,FABRIC,4
175,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
176,2002213918,UNIDENTIFI,others,others,3
177,2002213918,UNIDENTIFI,others,others,3
178,2002214045,BEAUTY,others,BEAUTY,1
179,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
180,2002213918,UNIDENTIFI,others,others,3
181,2002213918,UNIDENTIFI,others,others,3
182,2002213918,UNIDENTIFI,others,others,3
183,2002213918,UNIDENTIFI,others,others,3
184,999999999,MULTI GROH,MULTI GROH,MULTI GROH,4
185,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
186,2002213853,PHC,others,PHC,3
187,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
188,2002213918,UNIDENTIFI,others,others,3
189,2002253256,PHC,others,PHC,1
190,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
191,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
192,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
193,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
194,2002214045,BEAUTY,others,BEAUTY,1
195,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
196,2002214045,BEAUTY,others,BEAUTY,1
197,2002214045,BEAUTY,others,BEAUTY,1
198,2002214045,BEAUTY,others,BEAUTY,1
199,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
200,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
201,2002213918,UNIDENTIFI,others,others,3
202,2002213918,UNIDENTIFI,others,others,3
203,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
204,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
205,2002213879,UNIDENTIFI,others,FEM CARE,4
206,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
207,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
208,2002213918,UNIDENTIFI,others,others,3
209,2002213918,UNIDENTIFI,others,others,3
210,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
211,2002214045,BEAUTY,others,BEAUTY,1
212,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
213,2002214045,BEAUTY,others,BEAUTY,1
214,2002214045,BEAUTY,others,BEAUTY,1
215,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
216,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
217,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
218,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
219,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
220,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
221,2002213981,MULTI HABA,MULTI HABA,MULTI HABA,6
222,2002213918,UNIDENTIFI,others,others,3
223,2002213918,UNIDENTIFI,others,others,3
224,2002213918,UNIDENTIFI,others,others,3
225,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
226,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
227,2002214045,BEAUTY,others,BEAUTY,1
228,2002214045,BEAUTY,others,BEAUTY,1
229,2002213918,UNIDENTIFI,others,others,3
230,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
231,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
232,2002213853,BABY,others,PHC,3
233,2002213918,UNIDENTIFI,others,others,3
234,2002213981,FABRIC,FABRIC,FABRIC,2
235,2002213918,UNIDENTIFI,others,others,3
236,2002213918,UNIDENTIFI,others,others,3
237,2002213918,UNIDENTIFI,others,others,3
238,2002213895,MULTI GROC,MULTI GROC,MULTI GROC,5
239,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
240,2002213853,FAMILY,FAMILY,FAMILY,5
241,2002213918,UNIDENTIFI,others,others,3
242,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
243,2002213931,MULTI GROH,MULTI GROH,MULTI GROH,1
244,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
245,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
246,2002213896,MULTI GROH,MULTI GROH,MULTI GROH,2
247,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
248,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
249,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
250,2002213895,MULTI GROC,MULTI GROC,MULTI GROC,5
251,2002213915,FABRIC,FABRIC,FABRIC,1
252,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
253,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
254,2002214045,BEAUTY,others,BEAUTY,1
255,2002213895,MULTI GROC,MULTI GROC,MULTI GROC,5
256,2002213887,MULTI GROH,MULTI GROH,MULTI GROH,7
257,2002254220,UNIDENTIFI,others,FAMILY,2
258,2002213918,UNIDENTIFI,others,others,3
259,2002213963,BEAUTY,BEAUTY,BEAUTY,8
260,2002253256,PHC,others,PHC,1
261,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
262,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
263,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
264,2002214045,BEAUTY,others,BEAUTY,1
265,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
266,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
267,2002214045,BEAUTY,others,BEAUTY,1
268,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
269,2002214045,BEAUTY,others,BEAUTY,1
270,2002214045,BEAUTY,others,BEAUTY,1
271,2002214045,BEAUTY,others,BEAUTY,1
272,2002214045,BEAUTY,others,BEAUTY,1
273,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
274,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
275,2002213931,MULTI GROC,MULTI GROC,MULTI GROC,2
276,2002214045,BEAUTY,others,BEAUTY,1
277,2002214045,BEAUTY,others,BEAUTY,1
278,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
279,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
280,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
281,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
282,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
283,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
284,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
285,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
286,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
287,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
288,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
289,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
290,2002213981,FABRIC,FABRIC,FABRIC,2
291,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
292,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
293,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
294,2002213931,MULTI GROC,MULTI GROC,MULTI GROC,2
295,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
296,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
297,2002214045,PHC,PHC,PHC,2
298,2002214045,APPLIANCE,APPLIANCE,APPLIANCE,3
299,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
300,2002213981,MULTI GROH,MULTI GROH,MULTI GROH,4
301,2002214045,BEAUTY,others,BEAUTY,1
302,2002214045,PHC,PHC,PHC,2
303,2002213981,APPLIANCE,APPLIANCE,APPLIANCE,7
